listing_id,date
14855524,2017-03-19
14855524,2017-03-20
14855524,2017-03-23
14855524,2017-03-26
14855524,2017-03-30
14855524,2017-04-12
14855524,2017-04-14
14855524,2017-04-15
14855524,2017-04-22
14855524,2017-04-28
14855524,2017-05-04
14855524,2017-05-09
14855524,2017-05-21
14855524,2017-05-25
14855524,2017-05-26
14855524,2017-05-29
14855524,2017-05-31
14855524,2017-06-05
14855524,2017-06-06
14855524,2017-06-11
14855524,2017-06-13
14855524,2017-06-15
14855524,2017-06-19
14855524,2017-08-04
14855524,2017-08-05
14855524,2017-08-16
14855524,2017-08-18
14855524,2017-08-30
14855524,2017-09-17
14855524,2017-09-24
14855524,2017-09-26
14855524,2017-09-29
14855524,2017-10-01
14855524,2017-10-22
14855524,2017-10-26
14855524,2017-11-01
14855524,2017-11-03
14855524,2017-12-08
14855524,2017-12-31
14855524,2018-02-12
14855524,2018-03-13
14855524,2018-03-15
14855524,2018-03-20
14855524,2018-03-24
14855524,2018-03-25
14855524,2018-03-30
14855524,2018-03-31
14855524,2018-04-04
14855524,2018-04-15
14855524,2018-04-20
14855524,2018-04-25
14855524,2018-04-28
14855524,2018-05-12
14855524,2018-05-13
14855524,2018-05-18
14855524,2018-05-21
14855524,2018-05-23
14855524,2018-05-24
14855524,2018-05-25
14855524,2018-05-27
14855524,2018-05-31
14855524,2018-06-03
14855524,2018-06-06
14855524,2018-06-10
14855524,2018-06-15
14855524,2018-06-26
14855524,2018-06-29
14855524,2018-07-01
14855524,2018-07-06
14855524,2018-07-13
14855524,2018-07-22
14855524,2018-08-05
14855524,2018-08-10
14855524,2018-08-12
14855524,2018-08-17
14855524,2018-08-19
14855524,2018-08-24
14855524,2018-08-27
14855524,2018-08-31
14855524,2018-09-02
14855524,2018-09-08
14855524,2018-09-12
14855524,2018-09-14
14855524,2018-10-21
14855524,2018-10-26
14855524,2018-12-04
14855524,2018-12-22
14855524,2019-02-24
14855524,2019-03-07
14855524,2019-03-13
14855524,2019-04-11
14855524,2019-04-14
14855524,2019-04-17
14855524,2019-04-21
14855524,2019-04-26
14855524,2019-05-07
14855524,2019-05-09
14855524,2019-05-12
14855524,2019-05-16
14855524,2019-05-18
14855524,2019-05-23
14855524,2019-05-24
14855524,2019-05-29
14855524,2019-05-31
14855524,2019-06-17
14855524,2019-06-21
14855524,2019-06-27
14855524,2019-07-15
14855524,2019-08-11
14855524,2019-08-14
14855524,2019-08-18
14855524,2019-08-20
14855524,2019-09-15
14855524,2019-09-22
14855524,2019-09-27
14855524,2019-09-29
14855524,2019-10-18
14855524,2019-10-24
14855524,2019-11-01
14855524,2019-11-08
14855524,2019-11-10
14855524,2019-12-01
14855524,2019-12-21
14855524,2020-01-02
14855524,2020-01-10
14855524,2020-01-21
14855524,2020-02-04
14855524,2020-02-09
14855524,2020-02-19
14855524,2020-03-09
14855524,2020-06-19
14855524,2020-07-02
14855524,2020-07-13
14855524,2020-07-24
14855524,2020-08-26
14855524,2020-09-06
14855524,2020-11-26
14855524,2020-12-19
14855524,2020-12-21
14855524,2020-12-30
14855524,2021-01-21
14855524,2021-01-22
14855524,2021-01-28
14855524,2021-02-04
14864017,2017-01-05
14864017,2017-01-15
14897210,2016-12-30
14897210,2017-04-02
14897210,2017-04-30
14897210,2017-05-28
14897210,2017-07-09
14897210,2017-07-16
14897210,2017-07-26
14897210,2018-01-05
14897210,2018-02-24
14897210,2018-05-21
14897210,2018-06-03
14897210,2018-06-10
14897210,2018-07-01
14897210,2018-07-21
14897210,2018-09-23
14897210,2018-10-21
14897210,2019-01-02
14897210,2019-06-30
14897210,2019-07-14
14897210,2019-09-29
14897210,2019-10-28
14897210,2020-07-24
14905174,2016-09-24
14905174,2016-09-27
14905174,2016-10-06
14905174,2016-10-11
14905174,2016-10-22
14905174,2016-11-03
14905174,2017-09-30
14905174,2018-09-13
14905174,2018-11-18
14905174,2018-11-23
14905174,2018-12-30
14905174,2019-02-08
14905174,2019-02-23
14905174,2019-02-28
14905174,2019-06-30
14905174,2019-07-09
14905174,2019-07-13
14905174,2019-11-14
14905174,2019-11-30
14905174,2019-12-18
14905174,2020-01-01
14905174,2020-01-10
14905174,2020-03-16
14905174,2020-03-25
14905174,2020-10-04
14905174,2020-10-09
14905174,2020-11-22
14905174,2021-01-31
14975438,2016-11-20
14975438,2017-01-01
14975438,2017-04-09
14975438,2017-04-16
14975438,2017-04-27
14975438,2017-04-30
14975438,2017-05-27
14975438,2017-07-30
14975438,2017-11-05
14975438,2018-09-23
14975438,2018-10-17
14975438,2018-12-16
14975438,2019-03-31
14975438,2019-07-07
14975438,2019-10-20
14975438,2019-11-24
14975438,2020-03-08
14975438,2020-03-15
14975438,2020-07-20
15217689,2020-07-22
15217689,2020-09-12
15217689,2020-09-21
15217689,2020-09-26
15217689,2020-10-02
15217689,2020-10-11
15217689,2020-10-16
15217689,2020-10-18
15217689,2020-11-27
15217689,2020-12-07
15217689,2021-02-14
15270962,2016-10-02
15270962,2016-10-16
15270962,2016-10-29
15270962,2016-11-06
15270962,2016-11-12
15270962,2016-11-13
15270962,2016-11-20
15270962,2016-11-26
15270962,2016-12-04
15270962,2016-12-18
15270962,2016-12-24
15270962,2017-01-15
15270962,2017-02-02
15270962,2017-02-26
15270962,2017-03-04
15270962,2017-03-12
15270962,2017-04-02
15270962,2017-04-23
15270962,2017-05-07
15270962,2017-05-22
15270962,2017-05-27
15270962,2017-05-28
15270962,2017-06-17
15270962,2017-09-17
15270962,2017-09-18
15270962,2017-12-17
15270962,2018-01-21
15270962,2018-02-25
15270962,2018-03-03
15270962,2018-04-29
15270962,2018-10-27
15270962,2019-12-08
15270962,2019-12-30
15270962,2020-03-01
15270962,2020-03-08
15280340,2016-12-14
15280340,2017-01-02
15280340,2017-03-14
15280340,2017-04-05
15280340,2017-04-30
15280340,2017-05-21
15280340,2017-05-31
15280340,2017-12-10
15280340,2018-01-01
15280340,2018-03-04
15280340,2018-04-09
15280340,2018-04-17
15280340,2018-05-13
15280340,2018-06-03
15280340,2018-07-08
15280340,2018-07-23
15280340,2019-02-15
15280340,2019-02-24
15280340,2019-03-03
15280340,2019-04-08
15280340,2019-04-21
15280340,2019-04-28
15280340,2019-05-05
15280340,2019-05-15
15280340,2019-06-02
15280340,2019-06-16
15280340,2019-07-18
15280340,2019-07-21
15280340,2019-07-29
15280340,2019-09-29
15280340,2019-10-06
15280340,2019-10-21
15280340,2019-10-26
15280340,2019-12-20
15280340,2020-01-01
15291805,2020-06-09
15291805,2020-06-20
15291805,2020-08-31
15291805,2020-09-13
15291805,2020-09-25
15292817,2016-11-18
15292817,2017-02-23
15292817,2017-03-09
15292817,2017-04-16
15292817,2017-04-22
15292817,2017-04-26
15292817,2017-04-30
15292817,2017-05-08
15292817,2017-05-14
15292817,2017-05-28
15292817,2017-06-04
15292817,2017-07-02
15292817,2017-07-23
15292817,2017-12-01
15292817,2018-01-02
15292817,2018-05-31
15292817,2018-06-09
15292817,2018-06-17
15292817,2018-07-01
15292817,2018-07-30
15292817,2018-08-18
15292817,2018-10-13
15292817,2018-10-21
15292817,2018-11-18
15292817,2018-12-02
15292817,2018-12-29
15292817,2019-03-10
15292817,2019-03-31
15292817,2019-04-28
15292817,2019-05-15
15292817,2019-05-26
15292817,2019-08-26
15292817,2019-09-29
15292817,2019-12-07
15292817,2020-03-10
15292817,2020-03-16
15341072,2016-11-01
15341072,2016-11-03
15341072,2016-11-06
15341072,2016-11-20
15341072,2016-12-04
15341072,2016-12-10
15341072,2016-12-10
15349356,2016-10-28
15349356,2016-11-02
15349356,2016-11-06
15349356,2016-11-20
15349356,2016-11-27
15349356,2016-12-05
15349356,2016-12-12
15349356,2016-12-21
15349356,2016-12-26
15349356,2016-12-30
15349356,2017-01-06
15349356,2017-01-12
15349356,2017-01-15
15349356,2017-01-27
15349356,2017-01-30
15349356,2017-02-02
15349356,2017-02-05
15349356,2017-02-16
15349356,2017-02-19
15349356,2017-02-26
15349356,2017-03-05
15349356,2017-03-11
15349356,2017-03-16
15349356,2017-03-20
15349356,2017-03-27
15349356,2017-04-01
15349356,2017-04-10
15349356,2017-04-16
15349356,2017-04-21
15349356,2017-04-27
15349356,2017-05-01
15349356,2017-05-04
15349356,2017-05-11
15349356,2017-05-15
15349356,2017-05-24
15349356,2017-05-28
15349356,2017-06-01
15349356,2017-06-05
15349356,2017-06-16
15349356,2017-06-22
15349356,2017-06-29
15349356,2017-07-02
15349356,2017-07-05
15349356,2017-07-08
15349356,2017-07-18
15349356,2017-07-24
15349356,2017-07-29
15349356,2017-08-06
15349356,2017-08-10
15349356,2017-08-13
15349356,2017-08-16
15349356,2017-08-21
15349356,2017-08-27
15349356,2017-08-31
15349356,2017-09-04
15349356,2017-09-10
15349356,2017-09-15
15349356,2017-09-18
15349356,2017-09-21
15349356,2017-09-24
15349356,2017-09-28
15349356,2017-10-08
15349356,2017-10-16
15349356,2017-10-20
15349356,2017-10-26
15349356,2017-11-05
15349356,2017-11-08
15349356,2017-11-13
15349356,2017-11-19
15349356,2017-11-26
15349356,2017-12-03
15349356,2017-12-10
15349356,2017-12-15
15349356,2017-12-18
15349356,2017-12-24
15349356,2017-12-29
15349356,2018-01-02
15349356,2018-01-06
15349356,2018-01-20
15349356,2018-01-28
15349356,2018-01-31
15349356,2018-02-04
15349356,2018-02-11
15349356,2018-02-14
15349356,2018-02-18
15349356,2018-02-25
15349356,2018-02-28
15349356,2018-03-05
15349356,2018-03-08
15349356,2018-03-22
15349356,2018-03-25
15349356,2018-03-29
15349356,2018-04-01
15349356,2018-04-08
15349356,2018-04-14
15349356,2018-04-19
15349356,2018-04-22
15349356,2018-04-26
15349356,2018-04-30
15349356,2018-05-04
15349356,2018-05-10
15349356,2018-05-16
15349356,2018-05-21
15349356,2018-05-27
15349356,2018-06-02
15349356,2018-06-09
15349356,2018-06-12
15349356,2018-06-17
15349356,2018-06-22
15349356,2018-06-28
15349356,2018-07-01
15349356,2018-07-05
15349356,2018-07-13
15349356,2018-07-24
15349356,2018-07-31
15349356,2018-08-12
15349356,2018-08-18
15349356,2018-08-27
15349356,2018-08-31
15349356,2018-09-05
15349356,2018-09-11
15349356,2018-09-16
15349356,2018-09-20
15349356,2018-09-23
15349356,2018-09-26
15349356,2018-09-29
15349356,2018-10-07
15349356,2018-10-16
15349356,2018-10-21
15349356,2018-10-25
15349356,2018-10-28
15349356,2018-11-02
15349356,2018-11-07
15349356,2018-11-12
15349356,2018-11-19
15349356,2018-11-25
15349356,2018-11-29
15349356,2018-12-02
15349356,2018-12-07
15349356,2018-12-15
15349356,2018-12-19
